source,protein,compound,folder,ligand_smiles,exp_dG (kcal/mol),fep_dG (kcal/mol),fep_dG_std (kcal/mol),boltz_dG (kcal/mol),boltz_dG_std (kcal/mol)
ChEMBL,ADK,CHEMBL642224,ChEMBL|ADK|CHEMBL642224,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2nc(Br)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[N+]([H])([H])[H],-11.4511,-7.6143,3.8368,-5.543057044347129,0.976551226853058
ChEMBL,ADK,CHEMBL642224,ChEMBL|ADK|CHEMBL642224,[H]OC([H])([H])[C@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-8.1814,-6.0671,2.1142,-8.141597899516425,0.8648829821850728
ChEMBL,ADK,CHEMBL642224,ChEMBL|ADK|CHEMBL642224,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(Br)c3c(N([H])[H])nc([H])nc32)O[C@@]1([H])C([H])([H])[H],-6.8178,-8.5162,1.6984,-7.064655105431875,0.15634403604757147
ChEMBL,ADK,CHEMBL642224,ChEMBL|ADK|CHEMBL642224,[H]OC([H])([H])[C@]1([H])O[C@@]([H])(n2nc(Br)c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-6.8178,-8.287,1.4692,-8.057830574254195,0.7874046838258569
ChEMBL,ADK,CHEMBL642224,ChEMBL|ADK|CHEMBL642224,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2nc(Br)c3c(N([H])[H])nc([H])nc32)O[C@@]1([H])C([H])([H])[N+]([H])([H])[H],-9.2307,-8.0539,1.1768,-5.610207115809124,0.8429340705259483
ChEMBL,ADK,CHEMBL642224,ChEMBL|ADK|CHEMBL642224,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)O[C@@]1([H])C([H])([H])[H],-8.724,-9.8641,1.1401,-6.581612571517627,0.4736046780791718
ChEMBL,ADK,CHEMBL642224,ChEMBL|ADK|CHEMBL642224,[H]OC([H])([H])[C@]1([H])O[C@@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-9.7733,-10.831,1.0577,-8.030843476007382,0.0919859098102734
ChEMBL,ADK,CHEMBL642224,ChEMBL|ADK|CHEMBL642224,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)O[C@@]1([H])C([H])([H])[N+]([H])([H])[H],-10.6302,-11.6354,1.0053,-6.049918336033822,1.49117885344053
ChEMBL,ADK,CHEMBL642224,ChEMBL|ADK|CHEMBL642224,[H]OC([H])([H])[C@]1([H])O[C@@]([H])(n2c([H])c(Br)c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-8.9352,-9.6676,0.7324,-8.315813558235766,0.41537453153643206
ChEMBL,ADK,CHEMBL642224,ChEMBL|ADK|CHEMBL642224,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@@]1([H])C([H])([H])[N+]([H])([H])[H],-6.8178,-6.1516,0.6662,-6.481011949300766,0.3420710338446952
ChEMBL,ADK,CHEMBL642224,ChEMBL|ADK|CHEMBL642224,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-10.3426,-10.9596,0.617,-8.05464056882759,0.1331020014717211
ChEMBL,ADK,CHEMBL642224,ChEMBL|ADK|CHEMBL642224,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)O[C@@]1([H])C([H])([H])OC([H])([H])[H],-7.7709,-7.8449,0.074,-7.962946470975877,0.3182836829448548
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(=S)nc([H])n([H])c32)O[C@]1([H])C([H])([H])[H],-7.0729,-1.9034,5.169533128671247,-6.170549386302629,0.9166197794595808
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(C(=O)OC([H])([H])C([H])([H])[H])c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-8.1814,-11.4895,3.308132131045112,-7.297040459692479,0.22492986423178876
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(I)c3c(N([H])C([H])([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-8.0734,-11.0281,2.9546776140899915,-7.814221158881984,1.0389487884968918
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(Br)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-10.0875,-7.4461,2.6414747055834487,-7.05489445078373,0.11003519369285468
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c(I)c3c(Cl)nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],-10.39,-12.7231,2.3330238980901448,-5.79530180378755,1.2240852572465049
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(Cl)nc([H])nc32)O[C@]1([H])C([H])([H])OC([H])([H])[H],-8.6542,-10.98,2.325797034381808,-7.42155296628674,0.7151960199804133
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[N+]([H])([H])[H],-9.2307,-6.9839,2.246763191308344,-6.393505095084509,0.23203401130282147
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(SC([H])([H])[H])c3c(Cl)nc([H])nc32)O[C@]1([H])C([H])([H])[H],-9.7561,-11.9668,2.210611641369697,-6.418003811558088,0.9744233476031925
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-10.9709,-9.1888,1.7820886242671266,-6.599757947166761,0.42462016090084687
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(Br)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[N+]([H])([H])[H],-13.2251,-11.5127,1.712431901789223,-6.180616707324982,1.0660157594521291
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])C([H])([H])[H],-9.8474,-8.164,1.6834606938332255,-7.6698830174009,0.7338768653901606
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(Br)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])C([H])([H])[H],-8.5918,-6.9385,1.6532983811162678,-7.329747449164589,0.4882029341803297
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(SC([H])([H])[H])c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-8.0036,-9.5047,1.5010836688675322,-7.482119188167155,0.5719377610759914
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(C#N)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])[H],-8.8749,-7.5889,1.2859870749827873,-7.130382319172224,0.33168450557415025
ChEMBL,ADK,CHEMBL642225,ChEMBL|ADK|CHEMBL642225,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])c(I)c3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])=C([H])[H],-9.5449,-8.4949,1.0500270793771056,-6.2935522364775345,1.0565732946009752
